return_id,order_id,item_id,return_date,reason
268,1760,3977,2025-09-30,Late Delivery
269,1761,3982,2025-05-05,Changed Mind
270,1768,3998,2024-04-28,Wrong Item
271,1785,4034,2024-05-04,Other
272,1791,4048,2024-08-11,Defective
273,1793,4052,2024-01-15,Late Delivery
274,1795,4056,2025-01-18,Defective
275,1796,4057,2025-11-17,Wrong Item
276,1820,4111,2025-02-20,Wrong Item
277,1822,4119,2025-04-12,Other
278,1824,4121,2025-12-31,Changed Mind
279,1826,4126,2025-03-05,Other
280,1852,4179,2025-07-31,Other
281,1870,4216,2025-10-05,Changed Mind
282,1871,4221,2025-05-31,Defective
283,1873,4228,2025-05-02,Late Delivery
284,1883,4253,2024-11-02,Changed Mind
285,1884,4255,2024-03-28,Defective
286,1888,4261,2025-02-24,Wrong Item
287,1889,4264,2025-06-11,Wrong Item
288,1893,4273,2025-10-21,Other
289,1904,4301,2025-07-11,Late Delivery
290,1910,4316,2025-08-18,Changed Mind
291,1918,4334,2025-06-30,Late Delivery
292,1918,4335,2025-06-19,Wrong Item
293,1934,4369,2025-06-24,Other
294,1937,4372,2023-12-26,Other
295,1939,4378,2025-03-11,Other
296,1959,4425,2024-12-12,Other
297,1960,4426,2024-08-12,Changed Mind
298,1960,4427,2024-08-03,Late Delivery
299,1963,4434,2025-06-27,Late Delivery
300,1963,4436,2025-07-15,Other
301,1966,4442,2025-01-06,Other
302,1984,4479,2024-10-18,Late Delivery
303,1988,4487,2025-10-28,Late Delivery
304,1990,4493,2025-06-12,Defective
305,1991,4496,2025-03-21,Other
306,1992,4500,2023-12-28,Late Delivery
307,1994,4503,2025-12-26,Changed Mind
308,1994,4504,2025-12-25,Other
309,2009,4537,2025-07-12,Late Delivery
310,2013,4549,2024-09-29,Wrong Item
311,2019,4560,2023-09-30,Other
312,2042,4603,2024-12-22,Wrong Item
313,2046,4612,2025-05-09,Other
314,2053,4633,2025-07-21,Other
315,2057,4640,2023-08-18,Defective
316,2062,4652,2025-06-25,Wrong Item
317,2069,4669,2025-07-20,Wrong Item
318,2071,4675,2024-06-08,Defective
319,2073,4678,2025-09-18,Late Delivery
320,2080,4692,2025-11-23,Other
321,2081,4700,2024-05-12,Wrong Item
322,2087,4709,2025-10-26,Defective
323,2096,4729,2025-03-29,Defective
324,2096,4730,2025-04-11,Defective
325,2100,4740,2024-08-16,Late Delivery
326,2102,4746,2025-12-31,Other
327,2106,4754,2025-05-15,Other
328,2111,4765,2024-03-11,Changed Mind
329,2112,4767,2023-04-05,Other
330,2130,4802,2025-10-13,Changed Mind
331,2134,4809,2025-06-11,Late Delivery
332,2142,4825,2025-08-17,Wrong Item
333,2153,4845,2024-06-29,Changed Mind
334,2154,4849,2025-05-07,Other
335,2175,4888,2025-01-23,Changed Mind
336,2180,4905,2025-09-08,Other
337,2186,4915,2024-07-26,Changed Mind
338,2190,4924,2024-12-28,Other
339,2193,4928,2025-09-20,Other
340,2200,4941,2024-12-01,Other
341,2204,4946,2024-12-09,Defective
342,2205,4947,2023-07-28,Other
343,2207,4953,2024-07-06,Late Delivery
344,2208,4957,2025-01-27,Other
345,2222,4984,2025-10-23,Late Delivery
346,2223,4988,2024-08-01,Late Delivery
347,2241,5038,2025-12-03,Wrong Item
348,2246,5049,2025-04-08,Wrong Item
349,2251,5062,2025-06-07,Changed Mind
350,2275,5106,2025-07-20,Changed Mind
351,2294,5147,2025-12-13,Changed Mind
352,2299,5158,2025-04-20,Late Delivery
353,2309,5185,2023-11-07,Defective
354,2309,5186,2023-11-25,Defective
355,2322,5215,2024-02-26,Defective
356,2323,5220,2024-12-14,Late Delivery
357,2331,5238,2025-04-02,Defective
358,2331,5239,2025-04-10,Late Delivery
359,2333,5244,2025-09-01,Changed Mind
360,2337,5251,2024-12-12,Wrong Item
361,2337,5252,2024-12-17,Wrong Item
362,2338,5255,2024-11-09,Other
363,2345,5268,2025-07-04,Changed Mind
364,2347,5275,2025-09-11,Late Delivery
365,2349,5278,2025-05-28,Defective
366,2352,5283,2023-07-17,Defective
367,2353,5285,2025-04-24,Wrong Item
368,2362,5299,2025-05-04,Changed Mind
369,2362,5301,2025-04-28,Late Delivery
370,2409,5401,2025-08-15,Defective
371,2421,5427,2024-01-15,Late Delivery
372,2423,5433,2025-07-10,Changed Mind
373,2433,5452,2024-10-20,Other
374,2440,5469,2025-01-09,Wrong Item
375,2441,5470,2025-11-08,Wrong Item
376,2446,5480,2025-09-03,Defective
377,2450,5489,2024-07-22,Changed Mind
378,2463,5521,2023-11-23,Wrong Item
379,2465,5523,2024-08-09,Late Delivery
380,2465,5524,2024-08-10,Wrong Item
381,2465,5525,2024-07-18,Late Delivery
382,2480,5559,2025-09-25,Late Delivery
383,2480,5561,2025-09-04,Wrong Item
384,2485,5575,2025-06-03,Wrong Item
385,2488,5581,2025-07-21,Changed Mind
386,2497,5600,2025-08-31,Other
387,2497,5601,2025-09-04,Other
388,2499,5609,2025-05-09,Late Delivery
389,2506,5622,2025-06-12,Defective
390,2512,5635,2025-12-24,Other
391,2520,5652,2025-07-02,Wrong Item
392,2522,5658,2024-04-20,Other
393,2536,5678,2023-12-05,Late Delivery
394,2551,5708,2025-11-27,Changed Mind
395,2554,5714,2024-12-30,Defective
396,2558,5724,2024-01-26,Other
397,2565,5742,2025-12-31,Late Delivery
398,2598,5817,2024-01-15,Other
399,2602,5824,2024-11-20,Changed Mind
400,2603,5826,2023-05-27,Other
401,2613,5852,2025-11-09,Defective
402,2623,5883,2024-09-22,Other
403,2626,5890,2024-12-28,Defective
404,2627,5892,2025-04-18,Changed Mind
405,2632,5906,2025-11-10,Wrong Item
406,2643,5927,2025-12-07,Other
407,2646,5936,2025-12-09,Late Delivery
408,2648,5939,2024-01-22,Changed Mind
409,2679,6016,2024-10-15,Changed Mind
410,2687,6030,2023-04-11,Other
411,2695,6049,2024-10-06,Changed Mind
412,2703,6075,2023-10-12,Changed Mind
413,2714,6094,2024-09-03,Wrong Item
414,2719,6104,2025-06-25,Late Delivery
415,2724,6117,2025-05-03,Changed Mind
416,2731,6135,2025-12-31,Late Delivery
417,2748,6172,2025-03-08,Late Delivery
418,2770,6223,2025-11-20,Changed Mind
419,2781,6242,2025-08-27,Changed Mind
420,2784,6250,2023-06-02,Wrong Item
421,2795,6275,2024-12-26,Changed Mind
422,2804,6294,2025-01-29,Late Delivery
423,2815,6326,2024-01-14,Other
424,2818,6332,2024-11-18,Changed Mind
425,2828,6351,2024-02-11,Changed Mind
426,2846,6390,2025-11-04,Defective
427,2858,6422,2025-01-07,Other
428,2858,6423,2024-12-29,Late Delivery
429,2866,6440,2025-01-20,Late Delivery
430,2868,6444,2025-05-12,Other
431,2879,6471,2025-12-04,Wrong Item
432,2880,6474,2025-01-14,Late Delivery
433,2891,6494,2025-03-20,Wrong Item
434,2896,6504,2025-06-04,Changed Mind
435,2901,6514,2025-07-12,Changed Mind
436,2904,6526,2025-05-12,Changed Mind
437,2904,6527,2025-05-20,Other
438,2907,6532,2025-06-10,Defective
439,2912,6541,2025-07-01,Wrong Item
440,2912,6542,2025-07-03,Defective
441,2938,6596,2024-05-06,Changed Mind
442,2939,6598,2025-10-21,Other
443,2942,6608,2025-04-13,Wrong Item
444,2953,6639,2025-07-27,Other
445,2968,6679,2025-06-28,Wrong Item
446,2975,6690,2024-02-17,Other
447,2992,6730,2025-02-11,Changed Mind
448,2999,6746,2025-05-17,Wrong Item
449,3023,6803,2024-05-09,Defective
450,3031,6823,2025-08-13,Defective
451,3038,6837,2024-11-13,Changed Mind
452,3046,6860,2024-07-12,Other
453,3051,6869,2025-09-22,Other
454,3054,6875,2024-04-02,Late Delivery
455,3057,6881,2025-05-23,Wrong Item
456,3062,6890,2024-09-11,Changed Mind
457,3065,6903,2023-11-22,Wrong Item
458,3077,6932,2025-07-14,Other
459,3080,6938,2023-12-30,Defective
460,3086,6953,2025-08-03,Other
461,3100,6988,2025-11-03,Defective
462,3104,6993,2024-11-12,Late Delivery
463,3120,7026,2024-08-01,Wrong Item
464,3123,7030,2025-08-01,Wrong Item
465,3131,7043,2025-06-20,Late Delivery
466,3132,7046,2025-05-12,Wrong Item
467,3133,7051,2023-11-07,Other
468,3140,7069,2024-11-05,Defective
469,3156,7109,2025-12-31,Wrong Item
470,3164,7129,2023-12-24,Changed Mind
471,3168,7136,2024-06-28,Late Delivery
472,3179,7156,2025-07-24,Changed Mind
473,3183,7165,2025-07-13,Other
474,3205,7211,2025-08-06,Defective
475,3205,7212,2025-07-22,Defective
476,3214,7234,2025-07-23,Wrong Item
477,3214,7237,2025-07-15,Changed Mind
478,3223,7254,2025-08-13,Other
479,3223,7255,2025-08-10,Late Delivery
480,3234,7288,2025-04-02,Other
481,3243,7305,2024-09-09,Late Delivery
482,3243,7306,2024-09-24,Other
483,3244,7309,2024-07-08,Late Delivery
484,3245,7314,2025-01-08,Wrong Item
485,3248,7323,2025-12-22,Other
486,3253,7336,2024-06-28,Wrong Item
487,3258,7343,2025-10-03,Other
488,3266,7359,2025-12-12,Late Delivery
489,3281,7390,2025-04-23,Wrong Item
490,3288,7408,2025-02-18,Late Delivery
491,3294,7418,2023-04-08,Other
492,3316,7463,2025-10-20,Late Delivery
493,3319,7470,2025-03-30,Defective
494,3321,7473,2024-04-29,Changed Mind
495,3331,7495,2025-02-01,Late Delivery
496,3333,7498,2024-06-26,Late Delivery
497,3335,7505,2025-10-29,Wrong Item
498,3343,7516,2025-05-24,Defective
499,3345,7518,2025-10-19,Changed Mind
500,3347,7521,2025-02-01,Defective
501,3348,7526,2025-06-02,Other
502,3349,7528,2024-04-01,Defective
503,3362,7568,2024-07-11,Late Delivery
504,3369,7586,2025-06-01,Defective
505,3375,7599,2025-08-17,Changed Mind
506,3380,7608,2024-04-30,Other
507,3385,7617,2024-03-21,Wrong Item
508,3388,7626,2025-09-04,Late Delivery
509,3389,7628,2024-09-28,Changed Mind
510,3389,7630,2024-09-21,Defective
511,3397,7641,2024-06-10,Wrong Item
512,3398,7643,2023-12-12,Wrong Item
513,3408,7671,2025-05-31,Late Delivery
514,3411,7676,2025-03-18,Wrong Item
515,3413,7679,2025-05-20,Wrong Item
516,3415,7685,2024-06-16,Late Delivery
517,3416,7687,2025-09-19,Other
518,3418,7692,2025-09-16,Wrong Item
519,3420,7698,2025-10-01,Defective
520,3429,7727,2025-07-21,Wrong Item
521,3436,7745,2024-11-19,Other
522,3449,7769,2025-12-04,Late Delivery
523,3455,7784,2024-06-25,Defective
524,3459,7789,2023-07-31,Defective
525,3465,7802,2023-11-20,Defective
526,3465,7803,2023-11-02,Other
527,3472,7817,2025-12-31,Late Delivery
528,3475,7823,2025-11-10,Other
529,3491,7850,2024-12-18,Wrong Item
530,3491,7853,2024-12-17,Defective
531,3492,7854,2024-08-21,Wrong Item
532,3511,7896,2025-11-25,Late Delivery
533,3513,7902,2025-10-08,Changed Mind
534,3528,7933,2025-12-05,Changed Mind
535,3530,7935,2025-09-02,Late Delivery
536,3538,7960,2025-09-10,Wrong Item
537,3556,8000,2025-11-06,Other
538,3558,8005,2025-12-02,Changed Mind
539,3564,8017,2025-10-17,Late Delivery
540,3579,8049,2024-05-14,Wrong Item
541,3581,8051,2023-06-01,Late Delivery
542,3582,8054,2025-10-21,Defective
543,3587,8065,2025-07-13,Late Delivery
544,3588,8067,2025-07-07,Changed Mind
545,3589,8069,2025-07-08,Defective
546,3594,8078,2025-04-23,Late Delivery
547,3596,8082,2024-08-21,Late Delivery
548,3597,8085,2024-08-02,Changed Mind
549,3598,8088,2025-06-09,Wrong Item
550,3602,8096,2024-12-27,Changed Mind
551,3603,8102,2025-05-01,Late Delivery
552,3608,8111,2025-04-02,Wrong Item
553,3618,8128,2025-06-20,Late Delivery
554,3621,8133,2025-02-19,Changed Mind
555,3624,8138,2024-12-13,Wrong Item
556,3636,8159,2025-09-27,Changed Mind
557,3639,8166,2025-06-20,Changed Mind
558,3639,8167,2025-07-12,Other
559,3651,8198,2024-07-06,Wrong Item
560,3654,8206,2025-02-10,Changed Mind
561,3677,8262,2025-03-26,Changed Mind
562,3678,8264,2025-10-13,Changed Mind
563,3681,8270,2025-09-06,Other
564,3689,8285,2024-08-27,Late Delivery
565,3690,8290,2025-10-19,Other
566,3690,8291,2025-11-13,Defective
567,3709,8331,2025-11-16,Changed Mind
568,3712,8335,2024-05-31,Late Delivery
569,3713,8338,2024-11-26,Changed Mind
570,3723,8357,2025-11-07,Changed Mind
571,3724,8359,2024-08-13,Wrong Item
572,3725,8363,2023-10-24,Wrong Item
573,3729,8371,2024-04-26,Changed Mind
574,3734,8380,2023-06-22,Late Delivery
575,3752,8427,2023-11-06,Defective
576,3755,8433,2025-10-16,Other
577,3781,8494,2024-05-06,Defective
578,3788,8506,2025-12-02,Changed Mind
579,3802,8536,2025-06-28,Defective
580,3802,8537,2025-07-13,Other
581,3818,8570,2023-10-11,Defective
582,3839,8622,2025-03-12,Defective
583,3843,8632,2025-08-27,Defective
584,3844,8636,2024-06-22,Changed Mind
585,3854,8663,2023-07-04,Late Delivery
586,3856,8669,2025-07-10,Late Delivery
587,3869,8698,2025-11-07,Other
588,3884,8727,2025-09-17,Other
589,3886,8731,2025-12-07,Wrong Item
590,3892,8746,2025-08-02,Changed Mind
591,3905,8772,2025-10-19,Changed Mind
592,3912,8791,2024-05-09,Changed Mind
593,3920,8811,2024-09-29,Defective
594,3941,8850,2025-01-22,Other
595,3946,8859,2024-09-19,Changed Mind
596,3950,8864,2025-12-16,Changed Mind
597,3967,8900,2024-11-11,Defective
598,3971,8905,2025-08-24,Other
599,4000,8966,2024-05-14,Changed Mind
600,4014,8994,2024-08-22,Changed Mind
601,4022,9011,2025-12-21,Late Delivery
602,4023,9013,2023-09-26,Wrong Item
603,4023,9015,2023-09-12,Changed Mind
604,4024,9018,2024-10-21,Other
605,4039,9051,2025-09-12,Defective
606,4042,9059,2025-12-26,Late Delivery
607,4050,9084,2025-03-01,Changed Mind
608,4072,9125,2025-03-15,Wrong Item
609,4080,9140,2025-04-17,Other
610,4081,9145,2024-05-11,Other
611,4085,9153,2024-05-16,Late Delivery
612,4087,9159,2024-02-13,Changed Mind
613,4089,9166,2023-05-09,Defective
614,4098,9182,2025-11-21,Other
615,4101,9188,2025-07-25,Changed Mind
616,4103,9193,2025-03-04,Wrong Item
617,4105,9201,2025-08-14,Late Delivery
618,4113,9223,2024-04-17,Changed Mind
619,4130,9265,2024-02-03,Defective
620,4137,9278,2023-06-09,Other
621,4146,9300,2025-02-26,Wrong Item
622,4147,9303,2025-08-12,Defective
623,4169,9345,2025-08-16,Defective
624,4172,9354,2024-10-16,Defective
625,4173,9356,2025-09-12,Late Delivery
626,4177,9362,2025-09-10,Defective
627,4178,9366,2025-12-31,Other
628,4181,9371,2023-06-27,Changed Mind
629,4182,9373,2024-11-23,Defective
630,4182,9374,2024-12-11,Late Delivery
631,4185,9381,2025-07-27,Defective
632,4189,9391,2024-07-16,Wrong Item
633,4219,9449,2025-11-20,Wrong Item
634,4233,9479,2025-10-11,Changed Mind
635,4238,9489,2024-09-19,Other
636,4247,9510,2023-10-25,Late Delivery
637,4251,9522,2024-06-02,Other
638,4262,9545,2025-04-12,Defective
639,4262,9546,2025-05-09,Changed Mind
640,4285,9598,2024-07-16,Late Delivery
641,4288,9604,2024-10-23,Changed Mind
642,4288,9607,2024-10-29,Changed Mind
643,4293,9617,2025-09-20,Wrong Item
644,4299,9630,2025-09-11,Wrong Item
645,4302,9636,2024-07-22,Defective
646,4316,9673,2025-07-19,Changed Mind
647,4321,9682,2025-09-22,Wrong Item
648,4324,9690,2025-02-10,Late Delivery
649,4325,9694,2024-09-07,Defective
650,4349,9741,2025-06-21,Changed Mind
651,4352,9747,2025-06-25,Changed Mind
652,4356,9755,2024-01-08,Changed Mind
653,4357,9757,2023-12-27,Late Delivery
654,4360,9762,2025-06-06,Wrong Item
655,4366,9778,2024-02-02,Defective
656,4377,9800,2024-12-18,Late Delivery
657,4397,9840,2025-12-30,Defective
658,4397,9842,2025-12-31,Defective
659,4398,9844,2023-11-04,Defective
660,4403,9855,2025-09-30,Wrong Item
661,4416,9881,2024-11-03,Late Delivery
662,4431,9918,2025-04-04,Changed Mind
663,4441,9939,2025-04-15,Other
664,4449,9954,2025-01-13,Defective
665,4453,9969,2024-02-12,Other
666,4461,9986,2025-06-12,Late Delivery
667,4467,9997,2025-05-18,Wrong Item
668,4473,10006,2025-08-25,Changed Mind
669,4477,10015,2024-10-17,Wrong Item
670,4478,10021,2024-12-21,Other
671,4479,10024,2025-10-03,Late Delivery
672,4508,10084,2023-09-16,Wrong Item
673,4509,10086,2025-04-11,Late Delivery
674,4511,10092,2023-07-18,Wrong Item
675,4517,10104,2025-11-19,Changed Mind
676,4550,10179,2024-03-20,Changed Mind
677,4550,10180,2024-03-20,Defective
678,4553,10186,2024-03-16,Defective
679,4553,10188,2024-02-26,Defective
680,4559,10202,2025-04-14,Late Delivery
681,4567,10223,2025-10-02,Defective
682,4568,10226,2025-01-04,Late Delivery
683,4573,10236,2024-08-20,Late Delivery
684,4616,10335,2025-10-11,Changed Mind
685,4617,10337,2025-10-20,Changed Mind
686,4621,10347,2024-11-27,Late Delivery
687,4622,10350,2024-10-09,Wrong Item
